,Unnamed: 0,rev_page,page_title,date,same_day_revs,prev_day_revs,week_before_revs,month_before_revs,year_before_revs,week_after_revs,day_after_revs,day_after_2_revs,category,category_score,around,before,boost,same_day_views,prev_day_views,week_before_views,month_before_views,year_before_views,day_after_views,is_event,News Item,subcategory,-1,Culture,Geography,History_and_Society,STEM,category_score_upd,category_upd
10,10,1626,Flaga_Polski,20220601,0.0,0.0,0.0,4.0,44.0,1.0,1.0,0.0,History_and_Society,0.9850529432296752,-1,1,-1.0,-1,-1,1,24,24,-1,0,-1,History,0,0,0,1,0,0.9911626577377319,History_and_Society.History
11,11,1908,Grudziądz,20220601,0.0,0.0,2.0,19.0,58.0,2.0,1.0,0.0,Geography,0.9937201142311096,409,440,0.9295454545454546,86,159,681,2869,28891,171,0,-1,Regions,0,0,1,0,0,0.9903015494346619,Geography.Regions.Europe.Eastern_Europe
12,12,2190,Hiperłącze,20220601,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9963027834892273,STEM.STEM*
13,13,2417,Irving_Berlin,20220601,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,Culture,0.9416641592979432,4529,4771,0.9492768811569902,742,1667,7234,30441,371192,1761,0,-1,Media,0,1,0,0,0,0.9991540908813477,Culture.Media.Music
14,14,2914,Konrad_Adenauer,20220601,0.0,0.0,0.0,0.0,18.0,1.0,1.0,0.0,Geography,0.7773098945617676,5158,4733,1.0897950559898584,921,2336,8067,33682,440252,1827,0,-1,Regions,0,0,1,0,0,0.9845854640007019,Culture.Biography.Biography*
15,15,3062,Księstwo_Warszawskie,20220601,0.0,0.0,0.0,0.0,6.0,3.0,1.0,2.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9740526676177979,Geography.Regions.Europe.Europe*
16,16,3088,Kabała,20220601,0.0,0.0,0.0,1.0,8.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9986429810523987,Culture.Philosophy_and_religion
17,17,3118,Konfucjanizm,20220601,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.999254584312439,Culture.Philosophy_and_religion
18,18,3261,Komunizm,20220601,0.0,0.0,0.0,4.0,49.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.8991314172744751,History_and_Society.Politics_and_government
19,19,3273,Liczby_naturalne,20220601,1.0,0.0,0.0,2.0,5.0,2.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9890230894088745,STEM.STEM*
20,20,3490,Leonard_Bernstein,20220601,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,Culture,0.9706977605819702,99195,36223,2.7384534687905475,16356,59835,97586,137589,783012,22859,0,-1,Media,0,1,0,0,0,0.9903015494346619,Culture.Media.Music
21,21,3510,Leon_Petrażycki,20220601,1.0,0.0,1.0,1.0,9.0,2.0,1.0,0.0,Culture,0.8031837940216064,61,58,1.0517241379310345,9,27,94,408,5963,21,0,-1,Biography,0,1,0,0,0,0.9496793746948242,Culture.Biography.Biography*
22,22,3519,Leonardo_da_Vinci,20220601,0.0,0.0,0.0,5.0,61.0,2.0,2.0,0.0,Culture,0.6297846436500549,79370,63327,1.2533358599017796,12229,32485,105624,336621,3554051,22241,0,-1,Visual_arts,0,1,0,0,0,-1.0,-1
23,23,4167,Narodowe_Siły_Zbrojne,20220601,1.0,0.0,5.0,7.0,155.0,2.0,1.0,0.0,Geography,0.9970290064811708,41,43,0.9534883720930232,7,17,66,223,2503,12,0,-1,Regions,0,0,1,0,0,0.9770326614379883,Geography.Regions.Europe.Eastern_Europe
24,24,4186,Newsweek_Polska,20220601,0.0,0.0,2.0,7.0,12.0,2.0,2.0,0.0,Geography,0.998977780342102,126,95,1.326315789473684,37,57,183,552,5045,75,0,-1,Regions,0,0,1,0,0,0.839743971824646,Geography.Regions.Europe.Eastern_Europe
25,25,4193,Nowa_Gwinea,20220601,0.0,0.0,2.0,2.0,12.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9304682612419128,Geography.Regions.Oceania
26,26,4194,Lista_laureatów_Nagrody_Nobla_związanych_z_Polską,20220601,0.0,0.0,0.0,1.0,19.0,2.0,2.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9679093360900879,Geography.Regions.Europe.Eastern_Europe
27,27,4482,Prawo,20220601,0.0,0.0,0.0,1.0,51.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9905974268913269,History_and_Society.Politics_and_government
28,28,4485,Procesor,20220601,0.0,3.0,7.0,7.0,22.0,5.0,2.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9883227348327637,STEM.STEM*
29,29,4567,Piaski_(powiat_gostyński),20220601,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9893575310707092,Geography.Regions.Europe.Eastern_Europe
30,30,4775,Probus,20220601,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,Culture,0.6926519870758057,30,37,0.8108108108108109,8,17,63,196,2314,13,0,-1,Biography,0,1,0,0,0,0.9970290064811707,History_and_Society.History
31,31,4779,Patent,20220601,0.0,0.0,1.0,4.0,8.0,2.0,2.0,0.0,History_and_Society,0.8840492963790894,6202,6117,1.0138957005067843,1267,2577,10095,47313,489208,2518,0,-1,Business_and_economics,0,0,0,1,0,0.9954004287719727,History_and_Society.Politics_and_government
32,32,4860,Premierzy_Polski,20220601,0.0,0.0,0.0,8.0,59.0,2.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9724247455596924,Geography.Regions.Europe.Eastern_Europe
33,33,4951,Powstanie_styczniowe,20220601,0.0,0.0,0.0,6.0,42.0,5.0,2.0,3.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9466066956520081,Geography.Regions.Europe.Europe*
34,34,5047,Problem_Collatza,20220601,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9995066523551941,STEM.STEM*
35,35,5127,Polska_Akademia_Nauk,20220601,0.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,Geography,0.7122421860694885,16,23,0.6956521739130435,1,1,24,100,934,5,0,-1,Regions,0,0,1,0,0,0.8080772161483765,Geography.Regions.Europe.Eastern_Europe
36,36,5171,Rumunia,20220601,0.0,0.0,0.0,2.0,32.0,1.0,1.0,0.0,Geography,0.994455099105835,6,6,1.0,3,4,13,67,747,4,0,-1,Regions,0,0,1,0,0,0.9777238368988037,Geography.Regions.Europe.Eastern_Europe
37,37,5191,Rasizm,20220601,0.0,0.0,1.0,1.0,14.0,3.0,3.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.8706072568893433,History_and_Society.Society
38,38,5301,Rzeszów,20220601,0.0,0.0,13.0,22.0,91.0,2.0,1.0,0.0,Geography,0.9996179938316344,1876,1776,1.0563063063063065,391,810,2959,13088,139512,745,0,-1,Regions,0,0,1,0,0,0.9553291201591492,Geography.Regions.Europe.Eastern_Europe
39,39,5397,Rejtan_(obraz_Jana_Matejki),20220601,0.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9845854640007019,Geography.Regions.Europe.Eastern_Europe
40,40,5401,Rzeczpospolita_Obojga_Narodów,20220601,0.0,0.0,4.0,15.0,62.0,2.0,1.0,0.0,Geography,0.9433575868606568,9,2,4.5,3,4,10,28,377,5,0,-1,Regions,0,0,1,0,0,0.9947898983955383,Geography.Regions.Europe.Europe*
41,41,5764,Supraśl,20220601,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,Geography,0.9724247455596924,61,117,0.5213675213675214,10,17,153,474,5281,23,0,-1,Regions,0,0,1,0,0,0.9926641583442688,Geography.Regions.Europe.Eastern_Europe
42,42,5796,Stała_grawitacji,20220601,1.0,0.0,0.0,0.0,3.0,5.0,4.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9935217499732971,STEM.STEM*
43,43,5884,Stadion_Dziesięciolecia,20220601,0.0,0.0,0.0,0.0,26.0,2.0,2.0,0.0,Geography,0.99753737449646,69,83,0.8313253012048193,11,31,141,458,6113,36,0,-1,Regions,0,0,1,0,0,0.8439050912857056,Culture.Sports
44,44,6243,Templariusze,20220601,2.0,0.0,0.0,3.0,27.0,3.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9324633479118347,History_and_Society.Military_and_warfare
45,45,6260,Tychy,20220601,0.0,0.0,0.0,0.0,40.0,1.0,1.0,0.0,Geography,1.0000100135803225,435,389,1.1182519280205656,79,184,650,2714,30288,167,0,-1,Regions,0,0,1,0,0,0.9931061863899231,Geography.Regions.Europe.Eastern_Europe
46,46,6352,Truskawka,20220601,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,Geography,0.9995927214622498,3,1,3.0,2,2,4,18,140,2,0,-1,Regions,0,0,1,0,0,0.9995221495628357,STEM.STEM*
47,47,6410,Totalitaryzm,20220601,0.0,0.0,0.0,0.0,21.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9715740084648132,History_and_Society.Politics_and_government
48,48,6507,Unia_horodelska,20220601,0.0,1.0,1.0,1.0,51.0,15.0,3.0,5.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9324633479118347,Geography.Regions.Europe.Europe*
49,49,6875,Wałbrzych,20220601,0.0,0.0,2.0,14.0,45.0,1.0,1.0,0.0,Geography,1.0000100135803225,531,624,0.8509615384615384,116,210,934,3489,37093,224,0,-1,Regions,0,0,1,0,0,0.9688661694526672,Geography.Regions.Europe.Eastern_Europe
50,50,6915,Wojna_secesyjna,20220601,0.0,0.0,0.0,0.0,19.0,3.0,3.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9284188151359558,History_and_Society.Military_and_warfare
51,51,6969,Wyspy_Dziewicze_Stanów_Zjednoczonych,20220601,0.0,0.0,0.0,1.0,6.0,9.0,9.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9241518378257751,Geography.Regions.Americas.Central_America
52,52,7012,XVIII_wiek,20220601,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.523430347442627,Geography.Regions.Europe.Europe*
53,53,7078,Zamach_z_11_września_2001_roku,20220601,0.0,0.0,2.0,2.0,44.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9732507467269897,Geography.Regions.Americas.North_America
54,54,7223,1627,20220601,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,History_and_Society,0.9173126816749572,165,169,0.9763313609467456,38,81,285,1190,11053,66,0,-1,History,0,0,0,1,0,0.6654205918312073,Culture.Biography.Biography*
55,55,7242,1902,20220601,1.0,0.0,8.0,22.0,42.0,9.0,1.0,3.0,History_and_Society,0.523430347442627,1015,797,1.273525721455458,166,631,1592,6421,46076,279,0,-1,History,0,0,0,1,0,0.8175845146179199,Culture.Biography.Biography*
56,56,7263,1922,20220601,0.0,0.0,0.0,8.0,52.0,1.0,1.0,0.0,History_and_Society,0.6001983880996704,2778,2614,1.0627390971690895,508,947,4016,17116,188845,1001,0,-1,History,0,0,0,1,0,0.7879412174224854,Culture.Biography.Biography*
57,57,7264,1923,20220601,0.0,0.0,0.0,1.0,39.0,2.0,1.0,0.0,-1,-1.0,920,1122,0.8199643493761141,205,396,1759,7940,71157,359,0,-1,-2,1,0,0,0,0,0.7371681928634644,Culture.Biography.Biography*
58,58,7269,1928,20220601,0.0,1.0,4.0,11.0,112.0,4.0,1.0,1.0,History_and_Society,0.5312193632125854,1147,1151,0.996524761077324,145,344,1630,7671,77141,553,0,-1,History,0,0,0,1,0,0.771853506565094,Culture.Biography.Biography*
59,59,7273,1931,20220601,0.0,1.0,3.0,11.0,150.0,2.0,1.0,0.0,History_and_Society,0.5312193632125854,788,908,0.8678414096916299,127,324,1464,6695,66401,299,0,-1,History,0,0,0,1,0,0.7186043858528137,Culture.Biography.Biography*
60,60,7275,1933,20220601,0.0,0.0,1.0,7.0,99.0,2.0,1.0,1.0,History_and_Society,0.538993239402771,1094,1016,1.0767716535433072,214,426,1684,8524,79828,445,0,-1,History,0,0,0,1,0,0.771853506565094,Culture.Biography.Biography*
61,61,7277,1935,20220601,0.0,0.0,0.0,4.0,87.0,4.0,3.0,1.0,History_and_Society,0.538993239402771,846,940,0.9,147,311,1415,6084,61198,326,0,-1,History,0,0,0,1,0,0.754925012588501,Culture.Biography.Biography*
62,62,7283,1942,20220601,1.0,2.0,6.0,17.0,139.0,2.0,1.0,0.0,-1,-1.0,2331,2225,1.0476404494382023,866,1315,3959,15124,125914,1186,0,-1,-2,1,0,0,0,0,0.7663036584854126,Culture.Biography.Biography*
63,63,7296,1954,20220601,1.0,0.0,6.0,14.0,108.0,2.0,1.0,0.0,-1,-1.0,1353,1529,0.8848920863309353,314,651,2391,13982,90661,538,0,-1,-2,1,0,0,0,0,0.7490972280502319,Culture.Biography.Biography*
64,64,7302,1960,20220601,0.0,0.0,0.0,5.0,73.0,1.0,1.0,0.0,-1,-1.0,1484,1509,0.9834327369118622,281,686,2646,11285,108560,553,0,-1,-2,1,0,0,0,0,0.8439050912857056,Culture.Biography.Biography*
65,65,7305,1963,20220601,1.0,0.0,1.0,6.0,123.0,2.0,1.0,0.0,-1,-1.0,2042,1482,1.377867746288799,446,790,3115,11389,104082,751,0,-1,-2,1,0,0,0,0,0.7879412174224854,Culture.Biography.Biography*
66,66,7306,1964,20220601,1.0,1.0,6.0,20.0,77.0,4.0,1.0,0.0,-1,-1.0,1285,1369,0.9386413440467496,236,498,2093,9750,102755,475,0,-1,-2,1,0,0,0,0,0.7490972280502319,Culture.Biography.Biography*
67,67,7318,1977,20220601,0.0,0.0,1.0,6.0,133.0,1.0,1.0,0.0,-1,-1.0,1751,1606,1.0902864259028642,356,705,2648,11143,120748,738,0,-1,-2,1,0,0,0,0,0.7981967926025391,Culture.Biography.Biography*
68,68,7325,1983,20220601,0.0,1.0,1.0,13.0,300.0,1.0,1.0,0.0,History_and_Society,0.5078218579292297,2048,2080,0.9846153846153848,401,781,3279,12755,179657,935,0,-1,History,0,0,0,1,0,0.7981967926025391,Culture.Biography.Biography*
69,69,7332,1990,20220601,0.0,0.0,2.0,3.0,58.0,1.0,1.0,0.0,-1,-1.0,3583,3379,1.0603728913879846,600,1390,5455,20245,199988,1213,0,-1,-2,1,0,0,0,0,0.8479777574539185,Culture.Biography.Biography*
70,70,7333,1991,20220601,0.0,0.0,1.0,1.0,238.0,1.0,1.0,0.0,-1,-1.0,2184,3042,0.717948717948718,458,904,4393,18543,253218,872,0,-1,-2,1,0,0,0,0,0.8221991658210754,Culture.Biography.Biography*
71,71,7381,1862,20220601,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,History_and_Society,0.6370407938957214,1094,944,1.1588983050847457,173,649,1699,5363,40421,339,0,-1,History,0,0,0,1,0,0.6584275364875793,Culture.Biography.Biography*
72,72,7390,1872,20220601,0.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,History_and_Society,0.7122421860694885,590,619,0.9531502423263328,115,233,1029,4639,40037,225,0,-1,History,0,0,0,1,0,0.7057950496673584,Culture.Biography.Biography*
73,73,7416,2000,20220601,1.0,0.0,3.0,8.0,103.0,4.0,1.0,0.0,History_and_Society,0.6584275364875793,3474,3277,1.060115959719255,689,1389,5362,23154,266700,1419,0,-1,History,0,0,0,1,0,0.8558611869812012,Culture.Biography.Biography*
74,74,7452,1809,20220601,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,History_and_Society,0.7248802781105042,437,410,1.0658536585365854,76,174,678,2707,24580,158,0,-1,History,0,0,0,1,0,0.6297846436500549,Culture.Biography.Biography*
75,75,7510,1778,20220601,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,History_and_Society,0.7057950496673584,313,334,0.937125748502994,55,137,562,2327,21109,109,0,-1,History,0,0,0,1,0,0.6370407938957214,Culture.Biography.Biography*
76,76,7517,1_czerwca,20220601,3.0,0.0,0.0,0.0,40.0,30.0,23.0,1.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.523430347442627,Culture.Biography.Biography*
77,77,7518,2_czerwca,20220601,0.0,1.0,1.0,1.0,41.0,12.0,1.0,9.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,-1.0,-1
78,78,7530,17_czerwca,20220601,0.0,0.0,0.0,3.0,57.0,3.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,-1.0,-1
79,79,7531,15_czerwca,20220601,0.0,0.0,0.0,0.0,48.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,-1.0,-1
80,80,7537,30_czerwca,20220601,0.0,1.0,1.0,3.0,54.0,2.0,2.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,-1.0,-1
81,81,7546,21_czerwca,20220601,0.0,0.0,0.0,3.0,52.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.5078218579292297,Culture.Biography.Biography*
82,82,7566,26_lipca,20220601,0.0,0.0,0.0,0.0,60.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,-1.0,-1
83,83,7614,7_września,20220601,0.0,0.0,0.0,1.0,50.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,-1.0,-1
84,84,7721,24_grudnia,20220601,0.0,0.0,0.0,0.0,50.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.5312193632125854,Culture.Biography.Biography*
85,85,7728,8_maja,20220601,0.0,0.0,0.0,21.0,38.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.5000100135803223,Culture.Biography.Biography*
86,86,7748,31_maja,20220601,12.0,2.0,2.0,2.0,24.0,14.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.5156299471855164,Geography.Regions.Europe.Europe*
87,87,7798,5_marca,20220601,1.0,0.0,0.0,0.0,34.0,3.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,-1.0,-1
88,88,7836,27_lutego,20220601,0.0,0.0,0.0,2.0,31.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,-1.0,-1
89,89,7856,26_stycznia,20220601,0.0,0.0,0.0,1.0,46.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.523430347442627,Culture.Biography.Biography*
90,90,7967,1711,20220601,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,History_and_Society,0.7773098945617676,163,174,0.9367816091954024,44,84,308,1796,14319,78,0,-1,History,0,0,0,1,0,0.6584275364875793,Culture.Biography.Biography*
91,91,8019,1585,20220601,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,History_and_Society,0.9019306898117064,170,168,1.011904761904762,43,72,268,1080,10743,85,0,-1,History,0,0,0,1,0,0.7431780099868774,Culture.Biography.Biography*
92,92,8037,1603,20220601,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,History_and_Society,0.8519628047943115,247,222,1.1126126126126126,43,93,359,1543,22734,84,0,-1,History,0,0,0,1,0,0.6859594583511353,Culture.Biography.Biography*
93,93,8471,Lwów,20220601,0.0,0.0,0.0,8.0,76.0,1.0,1.0,0.0,Geography,0.9899964332580566,336,491,0.6843177189409368,80,151,722,3648,31564,145,0,-1,Regions,0,0,1,0,0,0.9790457487106323,Geography.Regions.Europe.Eastern_Europe
94,94,8603,Artykuły_na_Medal,20220601,0.0,0.0,1.0,4.0,76.0,3.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,-1.0,-1
95,95,9093,Adam_i_Ewa,20220601,0.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.8962613940238953,Culture.Literature
96,96,9150,Działo_pancerne_„Chwat”,20220601,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9931061863899231,History_and_Society.Military_and_warfare
97,97,9251,Tytuł_zawodowy,20220601,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.8479777574539185,Culture.Biography.Biography*
98,98,9272,Madonna_(piosenkarka),20220601,0.0,0.0,1.0,1.0,46.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9637899398803711,Culture.Media.Media*
99,99,9542,Nysa_Łużycka,20220601,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Geography,0.9871888160705566,12,11,1.0909090909090908,3,6,21,57,588,6,0,-1,Regions,0,0,1,0,0,0.9814634323120117,Geography.Regions.Europe.Europe*
100,100,9632,Azerbejdżan,20220601,0.0,0.0,0.0,1.0,22.0,2.0,2.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9921941161155701,Geography.Regions.Asia.Asia*
101,101,9666,Jastrzębie-Zdrój,20220601,1.0,0.0,0.0,10.0,61.0,4.0,3.0,0.0,Geography,1.0000100135803225,158,190,0.8315789473684211,36,66,290,1120,13237,65,0,-1,Regions,0,0,1,0,0,0.9841036200523376,Geography.Regions.Europe.Eastern_Europe
102,102,9724,Kazimierz_Sosnkowski,20220601,0.0,0.0,0.0,2.0,24.0,1.0,1.0,0.0,Geography,0.99745911359787,190,192,0.9895833333333334,33,85,314,1140,14596,77,0,-1,Regions,0,0,1,0,0,0.9284188151359558,Geography.Regions.Europe.Eastern_Europe
103,103,10057,Samobójstwo,20220601,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,-1.0,-1
104,104,10442,Wyszukiwarka_Google,20220601,0.0,0.0,0.0,2.0,12.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9931061863899231,STEM.STEM*
